rep,year,citations,observational,main.H,secondary.H,number.H.test,latin.name,target.taxa,target species,target species risk status,where listed,other.taxa,total number of species in study,n,sex ratio,life stages,duration of tracking,device,device attachment method,telemetry method,range,scale,rate of loss,recapture rate,lat,long,desert,country,statistics,what method was used to calculate home range
76,2014,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2010,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2006,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2007,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2006,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2003,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1994,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2010,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1993,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2011,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2006,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2009,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2013,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1991,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2007,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2010,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2004,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2011,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1998,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2012,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1997,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2012,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2001,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1998,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2014,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2006,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2008,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1995,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
