rep,year,citations,observational,main.H,secondary.H,number.H.test,latin.name,target.taxa,target species,target species risk status,where listed,other.taxa,total number of species in study,n,sex ratio,life stages,duration of tracking,device,device attachment method,telemetry method,range,scale,rate of loss,recapture rate,lat,long,desert,country,statistics,what method was used to calculate home range
1,2016,0,1,behavior,thermoregulation,2,Paraechinus aethiopicus,small mammal,Ethiopian hedgehog,least concerned,IUCN Red List of Endangered Species,0,1,10,0.29375,adult,4 days,vhf,glued to back,observation (on the hour),n/a,local,0,n/a,25.82,51.33,Arabian,Qatar,ANOVA (temperature comparison),None (temperature and behavior focus)
2,2009,14,1,behavior,thermoregulation,2,Otis tarda,bird,Great bustard,vulnerable,IUCN Red List of Endangered Species,0,1,142,5.916666667,"adult, juvinile",1-9 years (average 3.7 years),vhf,backpack,observation (once per month),n/a,regional,not given,not given,,,Iberian Pennisula,Spain,Univariate exploratory analysis,minimum convex polygons
3,2012,4,1,habitat use,species interactions,2,Canis latrans,large mammal,Coyote,least concerned,IUCN Red List of Endangered Species,1,3,5,0.085416667,adult,9 weeks,GPS,collar,relocation (GPS),n/a,local,0,automatic collar release,26.6666,103.6666,Chihuahuian Desert,Mexico,"ANOVA, Chi squared","""grid method"" (for habitat use/overlap)"
4,2007,28,1,methodological,,,Sylvia hortensis,bird,Orphean Warblers,least concerned,IUCN Red List of Endangered Species,0,1,9,n/a,adult,length of bird's stopover at site (not given approx. 9 days),VHF,leg-loop harness,relocation,n/a,local,not given,not given,21.06666,11.5833,Sahara,Mauritania,detection probability,none (detection probability focus)
5,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,19,1,demographics,,1,Odocoileus hemionus,large mammal,mule deer,least concerned,IUCN Red List of Endangered Species,0,1,77,0.030555556,adult,3 years,vhf,collar,monitoring,"426,000 ha",local,23 died (collars recovered),not given,36.7333,104.5,Colorado Plateau,USA,logistic regression,none (survival focus)
8,2014,0,1,behavior,,1,Centruroides sculpturatus,invertebrate,bark scorpion,not listed,n/a,0,1,20,0.423611111,adult,21 days,vhf,glued to back,relocation,n/a,local,not given,not given,33.46,111.76,Sonoran desert,USA,"general addative model, linear regression",none (movement distance taken)
9,2010,10,1,habitat use,,1,Ovis canadensis,large mammal,mountain sheep,least concerned,IUCN Red List of Endangered Species,0,1,13,n/a,adult,not given,vhf,collar,relocation,n/a,local,not given,not given,33.6666,115.9833,Sonoran desert,USA,logistic regression model,none (location data used for regression model)
10,2009,5,1,habitat use,,1,Ovis canadensis,large mammal,mountain sheep,least concerned,IUCN Red List of Endangered Species,0,1,25,0.427083333,adult,8 years,vhf,collar,relocation,84 km squared,local,not given,not given,,,mojave,USA,logistic regression model,minimum convex polygons
11,2013,5,1,behavior,thermoregulation,2,Mormopterus species,small mammal,inland freetail bats,vulnerable/least concern,IUCN Red List of Endangered Species,0,1,8,0.0875,adult,55 days,vhf,glued to back,"relocation, datalogger",n/a,local,not given,not given,29.4666,142.23333,Strzelecki Desert,Australia,Anova,"None (body temp, torpor focus)"
12,2014,2,1,physiology,behavior,2,"Scotorepens greyii, Mormopterus species",small mammal,,"vulnerable, least concern",IUCN Red List of Endangered Species,0,2,3,0.043055556,adult,3 days,vhf,glued to back,"relocation (daily), data logger (10 min.)",n/a,local,0,not given,29.4666,142.23333,Strzelecki Desert,Australia,linear mixed effects model,none (body temp)
13,2014,0,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
14,2015,0,1,habitat use,,,Aquila chrysaetos,bird,golden eagles,least concerned,IUCN Red List of Endangered Species,0,1,9,0.211111111,"adult, juvinile",2 years,GPS,backpack,relocation (GPS),n/a,regional,1 animal lost,not given,,,Mojave,USA,linear mixed model,local convex hull (used R)
15,1999,25,1,physiology,behavior,2,Papio hamadryas ursinus,large mammal,baboon,least concerned,IUCN Red List of Endangered Species,0,1,3,"3,0",adult,6 weeks,vhf,sugical implant,"observation (2 hr, every 15 min)",n/a,local,0,not recovered,-23.21,15.632078,Namib,Namibia,descriptive stats,none (body temp)
16,2003,17,1,physiology,behavior,2,Vanellus coronatus,bird,crowned plovers,least concerned,IUCN Red List of Endangered Species,0,1,41,n/a,adult,18 month,vhf,sugical implant,observation,n/a,local,not given,not given,,,Karoo,South Africa,correlation,none (body temp)
17,2014,1,1,habitat use,,1,Aspidites ramsayi,reptile,woma python,endangered,IUCN Red List of Endangered Species,0,1,12,"7,5",adult,1 year,vhf,sugical implant,relocation (once a day),10000 ha,local,0,not given,,,semi-arid,Australia,information-theoretic model selection,mapping
18,2003,46,1,habitat use,,1,"domestic cat. Felis catus, fox Vulpes vulpes",small mammal,feral cats and foxes,least concerned,IUCN Red List of Endangered Species,0,2,4,"cat 2,1 (fox 1,0)",adult,5-7 days (days not the same for all animals),vhf,collar,relocation (triagulation),,local,not given,not given,,,Gibson,Australia,t-test,95% minimum convex polygon
19,2011,21,1,behavior,,1,Falco naumanni,bird,Lesser Kestrel,least concerned,IUCN Red List of Endangered Species,0,1,19,"8,11",adult,1 year,geolocator,leg band,light geolocator,n/a,global,not given,11 out of 19,,,"Iberian Pennisula, Sahara",Spain,analysis of light to determine migration distance,n/a
20,1995,4,1,habitat use,behavior,2,Antilocapra americana,large mammal,pronghorn,least concerned,IUCN Red List of Endangered Species,0,1,7,"3,4","adult, juvinile",1 year,vhf,collar,relocation (triagulation),"2,300 ha",local,not given,not given,,,Chihuahuian Desert,USA,chi-squared,minimum convex polygons
21,2010,1,1,physiology,,1,Thallomys nigricauda,small mammal,Black-tailed Tree Rats,least concerned,IUCN Red List of Endangered Species,0,1,31,n/a,adult,12 (not same days for all animals),vhf,collar,relocation,n/a,local,3,not given,,,Kalahari,South Africa,"ANOVA, Chi squared",mapping
22,2008,3,1,behavior,,1,Nyctinomops macrotis,small mammal,big free-tailed bats,least concerned,IUCN Red List of Endangered Species,0,1,8,"0,8",adult,7 days,vhf,glued to back,relocation,30000 ha,regional,not given,not given,,,Great Basin,USA,95% minimum convex polygon (location analysis),95% minimum convex polygon
23,2000,33,1,demographics,behavior,2,Vulpes macrotis mutica,small mammal,San joaquine Kit Fox,endangered,"U.S. endangered species list, state listed",0,1,341,"close to 50,50","adult, juvinile",4-6 weeks 2x a year for 15 years,vhf,collar,relocation,323 km squared,local,225,not given,35.34796,-119.552,San Joaquine,USA,"ANOVA,t-test",mapping
24,2010,12,1,physiology,behavior,2,Otonycteris hemprichii,small mammal,Hemprich_†_s long-eared bats,least concerned,IUCN Red List of Endangered Species,0,1,23,"0,23",adult,2 years,vhf,glued to back,"relocation, datalogger",n/a,local,not given,not given,,,Negev highlands,Israel,"ANOVA, Regression","none (body temp, roost location)"
25,2008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2015,0,1,distribution,behavior,2,Vulpes macrotis,small mammal,kit fox,"least concerned, state sensitive species","IUCN Red List of Endangered Species, Utah",0,1,45,"26,19",adult,3 years,vhf,collar,relocation (triangulation 3/week),879 km2,local,not given,not given,40.202403,-112.881955,great basin,USA,"GLM, GLMM",none (grouped for model)
27,2010,6,1,habitat use,home range,2,Aegotheles cristatus,bird,Australian owlet-nightjars,least concern,IUCN Red List of Endangered Species,0,1,29,"12,9 (remander unknown)",adult,"5 days (average for each bird, over 1 year each animal different)",vhf,backpack,relocation,20 ha (/bird average),local,1 bird lost,not given,-23.616667,132.716667,tanami desert,Australia,"ANOVA, t-test","minimum convex polygons, fixed kernal contour"
28,1999,17,1,physiology,behavior,2,"Acomys russatus, A. cahirinus",small mammal,spiny mice,least concern,IUCN Red List of Endangered Species,0,2,54,n/a,adult,30 days (5 seasons over 2 years),vhf,sugical implant,data logger,n/a,local,not given,all recovered,31.46666,35.3888,Judean Desert,Israel,"t-test, Mann-Whitney U-test",none (body temperature)
29,2012,11,1,behavior,,1,Gopherus agassizii,reptile,desert tortoise,"vulnerable,threatened","IUCN Red List of Endangered Species, California",0,1,15,"0,15",adult,5 days,vhf,glued to back,relocation (weekly),n/a,local,not given,not given,33.95,-116.667,Mojave,USA,"ANOVA, ANCOVA, multi-response permutation procedure",none (reproduction)
30,2010,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1994,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2009,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2000,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2003,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2006,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2010,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2006,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2006,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2000,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2005,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1998,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2011,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2008,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2012,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2011,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2005,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1993,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2004,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2012,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2002,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2006,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1997,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2004,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2009,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2003,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2010,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1999,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1997,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2008,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2006,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2012,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2013,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2013,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1994,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
