Title,Authors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,DOI,Total Citations,Average per Year
Habitat selection by juvenile Mojave Desert tortoises,"Todd, Brian D.; Halstead, Brian J.; Chiquoine, Lindsay P.; Peaden, J. Mark; Buhlmann, Kurt A.; Tuberville, Tracey D.; Nafus, Melia G.",JOURNAL OF WILDLIFE MANAGEMENT,May-16,2016,80,4,720,728,10.1002/jwmg.1054,3,1.5
Context-dependent effects of radio transmitter attachment on a small passerine,"Snijders, Lysanne; Weme, Lydia E. Nieuwe; de Goede, Piet; Savage, James L.; van Oers, Kees; Naguib, Marc",JOURNAL OF AVIAN BIOLOGY,May-17,2017,48,5,650,659,10.1111/jav.01148,2,2
Ecology and conservation of the northern hopping-mouse (Notomys aquilo),"Diete, Rebecca L.; Meek, Paul D.; Dickman, Christopher R.; Leung, Luke K. -P.",AUSTRALIAN JOURNAL OF ZOOLOGY,2016,2016,64,1,21,32,10.1071/ZO15082,2,1
"Characterization of seasonal reproductive and stress steroid hormones in wild Radiated Tortoises, Astrochelys radiata","Currylow, Andrea F. T.; Rafeliarisoa, Tsilavo H.; Louis, Edward E., Jr.; Stanford, Craig B.; Randrianjafizanaka, Soary T.; Chinn, Sarah M.; Crocker, Daniel E.",GENERAL AND COMPARATIVE ENDOCRINOLOGY,NOV 1 2017,2017,253,,70,78,10.1016/j.ygcen.2017.09.001,0,0
Habitat selection of woodchat shrikes Lanius senator during spring stopover is related to foraging strategy,"Papageorgiou, Danai; Barboutis, Christos; Kassara, Christina; Giokas, Sinos",CURRENT ZOOLOGY,Apr-17,2017,63,2,139,149,10.1093/cz/zow079,0,0
"Caught basking in the winter sun: Preliminary data on winter thermoregulation in the Ethiopian hedgehog, Paraechinus aethiopicus, in Qatar","Abu Baker, Mohammad A.; Reeve, Nigel; Mohedano, Ivan; Conkey, April A. T.; Macdonald, David W.; Yamaguchi, Nobuyuki",JOURNAL OF ARID ENVIRONMENTS,Feb-16,2016,125,,52,55,10.1016/j.jaridenv.2015.10.002,4,2
Habitat selection by juvenile Mojave Desert tortoises,"Todd, Brian D.; Halstead, Brian J.; Chiquoine, Lindsay P.; Peaden, J. Mark; Buhlmann, Kurt A.; Tuberville, Tracey D.; Nafus, Melia G.",JOURNAL OF WILDLIFE MANAGEMENT,May-16,2016,80,4,720,728,10.1002/jwmg.1054,3,1.5
Desert kit fox home range - southeastern California,"Randel, Charles J., III; Silvy, Nova J.",ISRAEL JOURNAL OF ECOLOGY & EVOLUTION,2016,2016,61,4-Mar,157,161,10.1080/15659801.2016.1171468,0,0
