rep,year,observational,main.H,secondary.H,number.H.test,latin.name,target.taxa,target species,target species risk status,where listed,other.taxa,total number of species in study,n,sex ratio,life stages,duration of tracking,device,device attachment method,telemetry method,range,scale,rate of loss,recapture rate,lat,long,desert,country,statistics,what method was used to calculate home range,
1,2016,1,behavior,thermoregulation,2,Paraechinus aethiopicus,small mammal,Ethiopian hedgehog,least concerned,IUCN Red List of Endangered Species,0,1,10,,adult,4 days,vhf (with temp sensor),glued to back,observation (on the hour),,local,0,, 25.828110็, 51.201671็,Arabian,Qatar,ANOVA (temperature comparison),None (temperature and behavior focus),
2,2009,1,behavior,thermoregulation,2,Otis tarda,bird,Great bustard,vulnerable,IUCN Red List of Endangered Species,0,1,142,,"adult, juvinile",1-9 years (average 3.7 years),VHF,backpack,observation (once per month),,regional,not given,not given, 39.528655็,-2.001551็,Iberian Pennisula,Spain,Univariate exploratory analysis,minimum convex polygons,
3,2012,1,habita use,species interactions,2,Canis latrans,large mammal,Coyote,least concerned,IUCN Red List of Endangered Species,1,3,5,,adult,9 weeks,GPS,collar,relocation (GPS),,local,0,automatic collar release, 25.833709็,-103.848732็,Chihuahuian Desert,Mexico,"ANOVA, Chi squared","""grid method"" (for habitat use/overlap)",
4,2007,1,methodological,,,Sylvia hortensis,bird,Orphean Warblers,least concerned,IUCN Red List of Endangered Species,0,1,9,,adult,length of bird's stopover at site (not given approx. 9 days),VHF,leg-loop harness,relocation,,local,not given,not given, 21.008036็,-10.944415็,Sahara,Mauritania,detection probability,none (detection probability focus),
5,2007,1,demographics,,1,Odocoileus hemionus,large mammal,mule deer,least concerned,IUCN Red List of Endangered Species,0,1,77,,adult,3 years,vhf,collar,monitoring,"426,000 ha",local,23 died (collars recovered),not given, 36.579971็,-104.472293็,Colorado Plateau,USA,logistic regression,none (survival focus),
6,2014,1,behavior,,1,Centruroides sculpturatus,invertebrate,bark scorpion,not listed,,0,1,20,,adult,21 days,vhf,glued to back,relocation,,local,not given,not given, 33.306180็,-111.841208็,sonoran,USA,"general addative model, linear regression",none (movement distance taken),
7,2010,1,habitat use,,1,Ovis canadensis,large mammal,mountain sheep,least concerned,IUCN Red List of Endangered Species,0,1,13,,adult,not given,vhf,collar,relocation,,local,not given,not given, 33.126400็,-114.726345็,sonoran,USA,logistic regression model,none (location data used for regression model),
8,2009,1,habitat use,,1,Ovis canadensis,large mammal,mountain sheep,least concerned,IUCN Red List of Endangered Species,0,1,25,,adult,8 years,vhf,collar,relocation,84 km squared,local,not given,not given, 35.112116็,-115.263292็,Mojave,USA,logistic regression model,minimum convex polygons,
9,2013,1,behavior,thermoregulation,2,Mormopterus species,small mammal,inland freetail bats,vulnerable/least concern,IUCN Red List of Endangered Species,0,1,8,,adult,55 days,vhf,glued to back,"relocation, datalogger",,local,not given,not given,-28.362073็,139.945807็,strxelecki desert,Australia,Anova,"None (body temp, torpor focus)",
10,2014,1,physiology,behavior,2,"Scotorepens greyii, Mormopterus species",small mammal,"little
 broad-nosed bat, inland freetail bats","vulnerable, least concern",IUCN Red List of Endangered Species,0,2,3,,adult,3 days,vhf,glued to back,"relocation (daily), data logger (10 min.)",,local,0,not given,-28.362073็,139.945807็,strxelecki desert,Australia,linear mixed effects model,none (body temp),
