rep,year,observational,main.H,secondary.H,number.H.test,latin.name,target.taxa,target species,target species risk status,where listed,other.taxa,total number of species in study,n,sex ratio,life stages,duration of tracking,device,device attachment method,telemetry method,range,scale,rate of loss,recapture rate,lat,long,desert,country,statistics,what method was used to calculate home range,
11,2015,1,habitat use,,,Aquila chrysaetos,bird,golden eagles,least concerned,IUCN Red List of Endangered Species,0,1,9,,"adult, juvinile",2 years,GPS-GSM transmitters (15 minute interval),backpack,relocation (GPS),,regional,1 animal lost,not given, 35.961710็,-116.851240็,Mojave,USA,linear mixed model,local convex hull (used R),
12,1999,1,physiology,behavior,2,Papio hamadryas ursinus,large mammal,baboon,least concerned,IUCN Red List of Endangered Species,0,1,3,"3,0",adult,6 weeks,vhf,sugical implant,"observation (2 hr, every 15 min)",,local,0,not recovered,-23.521535็, 16.494061็,Namib,Namibia,descriptive stats,none (body temp),
13,2003,1,physiology,behavior,2,Vanellus coronatus,bird,crowned plovers,least concerned,IUCN Red List of Endangered Species,0,1,41,,adult,18 month,vhf,sugical implant,observation,,local,not given,not given,-29.590787็, 30.269752็,Karoo,South Africa,correlation,none (body temp),
14,2014,1,habitat use,,1,Aspidites ramsayi,reptile,woma python,endangered,IUCN Red List of Endangered Species,0,1,12,"7,5",adult,1 year,vhf,sugical implant,relocation (once a day),10000 ha,local,0,not given,-26.843468็,150.781957็,semi-arid,Australia,information-theoretic model selection,mapping,
15,2003,1,habitat use,,1,"domestic cat. Felis catus, fox Vulpes vulpes",small mammal,feral cats and foxes,least concerned,IUCN Red List of Endangered Species,0,2,4,"cat 2,1 (fox 1,0)",adult,5-7 days (days not the same for all animals),vhf,collar,relocation (triagulation),,local,not given,not given,-24.971460็,125.593885็,Gibson,Australia,t-test,95% minimum convex polygon,
16,2011,1,behavior,,1,Falco naumanni,bird,Lesser Kestrel,least concerned,IUCN Red List of Endangered Species,0,1,19,"8,11",adult,1 year,geolocator,leg band,light geolocator,,global,not given,11 out of 19, 31.606380็, -0.146848็,"Iberian Pennisula, Sahara",Portugal/Spain- West Africa,analysis of light to determine migration distance,,
17,1995,1,habitat use,behavior,2,Antilocapra americana,large mammal,pronghorn,least concerned,IUCN Red List of Endangered Species,0,1,7,"3,4","adult, juvinile",1 year,vhf,collar,relocation (triagulation),"2,300 ha",local,not given,not given, 32.612831็,-106.731264็,Chihuahuian Desert,USA,chi-squared,minimum convex polygons,
18,2010,1,physiology,,1,Thallomys nigricauda,small mammal,Black-tailed Tree Rats,least concerned,IUCN Red List of Endangered Species,0,1,31,,adult,12 (not same days for all animals),vhf,collar,relocation,,local,3,not given,-27.829334็, 28.501826็,Kalahari,South Africa,"ANOVA, Chi squared",mapping,
19,2008,1,behavior,,1,Nyctinomops macrotis,small mammal,big free-tailed bats,least concerned,IUCN Red List of Endangered Species,0,1,8,"0,8",adult,7 days,vhf,glued to back,relocation,30000 ha,regional,not given,not given, 36.106902็,-112.112597็,Great Basin,USA,95% minimum convex polygon (location analysis),95% minimum convex polygon,
20,2000,1,demographics,behavior,2,Vulpes macrotis mutica,small mammal,San joaquine Kit Fox,endangered,"U.S. endangered species list, state listed",0,1,341 (11-100 per season),"close to 50,50","adult, juvinile",4-6 weeks 2x a year for 15 years,vhf,collar,relocation,323 km squared,local,225,not given,35.34796็,-119.520039็,San Joaquine,USA,"ANOVA,t-test",mapping,
21,2010,1,physiology,behavior,2,Otonycteris hemprichii,small mammal,Hemprich_ั้s long-eared bats,least concerned,IUCN Red List of Endangered Species,0,1,23,"0,23",adult,2 years,vhf,glued to back,"relocation, datalogger",,local,not given,not given, 30.852297็, 34.783400็,negev desert,Israel,"ANOVA, Regression","none (body temp, roost location)",
22,2015,1,distribution,behavior,2,Vulpes macrotis,small mammal,kit fox,"least concerned, state sensitive species","IUCN Red List of Endangered Species, Utah",0,1,45,"26,19",adult,3 years,vhf,collar,relocation (triangulation 3/week),879 km2,local,not given,not given, 40.211933็,-112.839502็,Great Basin,USA,"GLM, GLMM",none (grouped for model),
23,2010,1,habitat use,home range,2,Aegotheles cristatus,bird,Australian owlet-nightjars,least concern,IUCN Red List of Endangered Species,0,1,29,"12,9 (remainder unknown)",adult,"5 days (average for each bird, over 1 year each animal different)",vhf,backpack,relocation,20 ha (/bird average),local,1 bird lost,not given,-23.697222็,133.883292็,tanami desert,Australia,"ANOVA, t-test","minimum convex polygons, fixed kernal contour",
24,1999,1,physiology,behavior,2,"Acomys russatus, A. cahirinus",small mammal,spiny mice,least concern,IUCN Red List of Endangered Species,0,2,54,,adult,30 days (5 seasons over 2 years),vhf,sugical implant,data logger,,local,not given,all recovered, 31.725779็, 35.191123็,Judean Desert,Israel,"t-test, Mann-Whitney U-test",none (body temperature),
25,2012,1,behavior,,1,Gopherus agassizii,reptile,desert tortoise,"vulnerable,threatened","IUCN Red List of Endangered Species, California",0,1,15,"0,15",adult,5 days,vhf,glued to back,relocation (weekly),,local,not given,not given, 33.830296็,-116.545291็,Mojave,"CA, USA","ANOVA, ANCOVA, multi-response permutation procedure",none (reproduction),
26,2010,1,behavior,human impact,2,Ovis canadensis meicana,large mammal,desert bighorn sheep,least concern,IUCN Red List,1,2,37,"0,37",adult,2 years,gps,collar,relocation,,local ,not given,not given, 32.286373็,-113.245040็,sonoran,USA,generalized linear mixed models,least cost route (not home range just location based),
27,1994,1,behavior,,1,Odocoileus hemionus,large mammal,mule deer,least concern,IUCN red list,0,1,9,"0,9",adult,1 year,vhf,collar,both,,local,not given,not given, 33.284077็,-112.429723็,sonoran,USA,Chi- Square,minimum convex polygon,
28,2000,1,behavior,,1,Ammodramus bairdii,bird,Baird's sparrow,least concern,IUCN red lis,1,4,20,,adult,7 weeks,vhf,leg band,relocation,3200 ha,local,not given,not given, 31.659813็,-110.525356็,sonoran,USA,linear regression,none,
29,2003,1,behavior,migration,3,Pernis apivorus,bird,honey buzzard,least concern,IUCN red list,0,1,10,,"adult, juvinile",3 years,gps,backpack,relocation,,global,not given,not given, 14.287040็,  1.713058็,Sahara,West Africa,mann-whitney test,none,
30,2006,1,methodological,reintroduction,2,"Lagostrophus
Lagostrophus fasciatus",large mammal,hare-wallaby,endangered,IUCN red list,1,2,34,"21,13",adult,4 weeks,vhf,collar,relocation,3 ha,local,1,not given,-26.702449็,114.115034็,peron pennisula,Australia,"regression, chi squared","none (movement, dispersal)",
31,2010,1,habitat use,methodology,2,Gopherus agassizii,reptile,desert tortoise,vulnerable,IUCN red list,0,1,41,"26,15",adult,2 years ,vhf,glued to back,relocation,3.74 km squared,local,6,not given, 35.262845็,-116.684616็,Mojave,USA,ANOVA,"fixed kernal, minimum convex polygon",
32,2006,1,habitat use,behavior,2,"Nesoryzomys
swarthi",small mammal,rice rat,vulnerable,IUCN red list,1,2,23,"11,12",adult,3 months,vhf,collar,relocation,,local,not given,not given, -0.251637็,-90.669302็,galapagos islands,galapagos,GLM,minimun convex polygon,
33,2006,1,habitat use,,1,Sminthopsis youngsoni,small mammal,lesser hairy-footed dunnart,least concern,IUCN red list,0,1,18,"7,11",adult,4 days (per animal),vhf,glued to back,relocation,,local,3,not given,-23.755566็,138.463434็,simpson desert,Australia,descriptive stats,none (distance measurement only),
34,2000,1,demographics,,1,Gopherus berlandieri,reptile,Berlandier๊s tortoise ,least concern,IUCN red list,0,1,47,"19,28",adult,3 years,vhf,glued to back,relocation,6150 ha,local,not given,not given, 28.414020็,-99.243138็,Rio Grande Plains,USA,"linear regression, chi squared",none (survivorship),
35,2005,1,demographics,habitat use,2,Ursus americanus,large mammal,black bear,least concern,IUCN red list,0,1,15,"6,9",adult,4 year,vhf,collar,relocation,,regional,not given,not given, 29.127487็,-103.242538็,Chihuahuian Desert,USA,descriptive stats,none (movement,
36,1998,1,behavior,physiology,2,Leptonycteris curasoae,small mammal,nectar-feeding bat,vulnerable,IUCN red list,0,1,8,"0,8",adult,14 days,vhf,glued to back,relocation,,local,4,not given, 28.819223็,-111.932969็,sonoran,Mexico,ANOVA,mapping,
37,2011,1,methodological,,1,Panthera uncia,large mammal,snow leopard,endangered,IUCN red list,0,1,,,,83 days,vhf,attached to trap,data logger,,local,not given,not given, 43.173455็,101.739876็,gobi desert,Mongolia,,,
38,2008,1,habitat use,resource selection,2,Equus ferus przewalskii,large mammal,Przewalski๊s horse,endangered,IUCN red list,1,2,16,,adult,3 years,gps,collar,relocation,,local,not given,not given, 45.418918็, 92.660315็,gobi desert,Mongolia,mixed effect logistic model,minimum convex polygon,
39,2014,1,habitat use,,1,Camela ferus,large mammal,wild bactrian camels,critically endangered,IUCN red list,0,1,7,"4,3",adult,1 year (aproximately),gps,collar,relocation,28410 km square,regional,5 failures,not given, 43.242048็, 97.438166็,gobi desert,Mongolia,glmm,minimun convex polygon,
40,2013,1,behavior,,1,Otis tarda dybowskii,bird,asian great bustard,vulnerable,IUCN red list,0,1,3,"0,3",adult,2 years,gps,backpack,relocation,,regional,not given,not given,50็,101็,gobi desert,Mongolia,,"minimum convex polygon, kernel density estimate",
41,2011,1,behavior,physiology,2,Dasyuroides byrnei,small mammal,kowari,vulnerable,IUCN red list,1,2,14,,adult,59 days,vhf,sugical implant,data logger,,local,not given,not given,-24.205987็,140.554972็,simpson desert,Australia,lmm,,
42,2005,1,behavior,,1,Gerbillus andersoni allenbyi,small mammal,gerbil,vulnerable,IUCN red list,0,1,12,"6,6",adult,1 month,vhf,collar,relocation,,local,not given,not given,30.713941็, 34.875748็,negev desert,Israel,ANOVA,minimum convex polygon,
43,1993,1,habitat use,behavior,2,Odocoileus hemionus,large mammal,mule deer,least concern,IUCN red list,0,1,17,"8,9",adult,7 months,vhf,collar,relocation,,local,not given,not given, 33.291797็,-112.429146็,sonoran,USA,t-test,,
44,2004,1,behavior,habitat use,2,Antilocapra americana sonoriensis,large mammal,sonoran pronghorn,endangered,IUCN red list,0,1,4,,adult,5 months,vhf,collar,behavior,,local,not given,not given, 32.664201็,-113.474810็,sonoran,USA,behavior budgeting,,
45,2012,1,habitat use,behavior,2,Testudo graeca soussensis,reptile,moorish tortoise,vulnerable,IUCN red list,1,2,6,"3,3",adult,1 year,vhf,glued to back,relocation,,local,not given,100%, 31.629474็, -7.981298็,Sahara,Morocco,,minimum convex polygon,
46,2002,1,behavior,habitat use,2,Testudo horsfieldi,reptile,steppe tortoise,vulnerable,IUCN red list,0,1,27,"13,14",adult,3 months,vhf,glued to back,"relocation, behavior",,local,not given,100%,40็,65็,Kyzyl Kum Desert,Uzbekistan,ANOVA,,
47,2010,1,behavior,habitat use,2,"Loxodonta
africana",large mammal,african elephant,vulnerable,IUCN red list,0,1,8,"8,0",adult,3 years,gps,collar,relocation,varied,regional,not given,not given,-27.619823็, 19.526283็,Namib,Namibia,,minimum convex polygon,
48,2006,1,behavior,habitat use,2,"Loxodonta
africana",large mammal,african elephant,vulnerable,IUCN red list,0,1,8,5.3,"adult, immature",2 years,gps,collar,relocation,varied,regional,not given,not given,-27.619823็, 19.526283็,Namib,Namibia,t-test,"minimum convex polygon, fixed kernal density estimate",
49,2014,1,methodological,behavior,2,"Testudo
hermanni hermanni",reptile,Hermann๊s tortoises,near threatened,IUCN red list,0,1,35,"15,20",adult,6 months,vhf,glued to back,"relocation, behavior",,local,not given,not given, 42.039396็,  9.012935็,mediteranean,France,lmm,linear distance traveled,
50,2004,1,habitat use,,1,"Alectoris
chukar",bird,chukar,least concern,IUCN red list,0,1,51,"30, 21",adult,10 months,vhf,backpack,relocation,,,not given,not given,45็55', -116็22',Great Basin,USA,chi-squared,,
51,2009,1,habitat use,,1,Geronticus eremita,bird,northern bald ibis,critically endangered,IUCN red list,0,1,3,,adult,1 year,gps,backpack,relocation,,global,not given,not given, 24.253967็, 38.914995็,Arabian,Syria-Saudi Arabia-Eithopia,,minimum convex polygon,
52,2015,1,habitat use,,1,Homopus signatus,reptile,Namaqualand Speckled Tortoise,threatened,IUCN red list,0,1,18,"7,11",adult,2 year,vhf,glued to back,relocation,,local,not given,not given,-32.330981็, 22.590498็,Karoo,South Africa,ANOVA,minimum convex polygon,
53,2003,1,demographics,habitat use,2,Gopherus agassizii,reptile,desert tortoise,vulnerable,IUCN red list,0,1,20-90 (varied by year),,adult,7 years ,vhf,glued to back,relocation,,local,not given,not given, 36.178239็,-114.541130็,Mojave,USA,mark-recaputure estimate,,
54,1999,1,behavior,habitat use,2,Vulpes vulpes arabica,large mammal,red fox,least concern,IUCN red list,0,1,41,"17,18",adult,15 months,vhf,collar,relocation,,local,6 lost,not given, 25.271005็, 46.525544็,Arabian,Saudi Arabia,t-test,"minimum convex polygon, restricted polygon",
55,2013,1,habitat use,behavior,2,"Pooecetes
gramineus",bird,Vesper Sparrow,least concern,IUCN red list,0,1,99,,adult,51 days,vhf,leg loop,relocation,,local,not given,not given, 32.345781็,-103.388754็,Chihuahuian Desert,Mexico,ANOVA,kernel density estimators,
56,1997,1,habitat use,behavior,2,Falco mexicanus,bird,Prairie Falcons,least concern,IUCN red list,1,2,129 (over several years),,adult,4 months,vhf,backpack,relocation,198616 ha,local,not given,not given, 43.238200็,-116.372348็,Great Basin,USA,MANOVAS,minimum convex polygon,
57,2008,1,behavior,,1,"Capra ibex
nubiana",large mammal,Nubian ibex,vulnerable,IUCN red list,0,1,12,,adult,3 years,vhf,collar,behavior,,regional,not given,not given, 21.476394็, 55.907396็,Arabian,Oman,Kruskal_Wallis test,,
58,2006,1,demographics,habitat use,2,Ovis canadensis,large mammal,bighorn sheep,least concern,IUCN red list,1,4,51,,adult,3 years,vhf,collar,relocation,53600 ha,regional,7 lost,not given, 33.684357็,-111.325687็,sonoran,USA,,,
59,2013,1,behavior,thermoregulation,2,Stigmochelys pardalis,reptile,leopard tortoise,least concern,IUCN red list,0,1,19,"8,11",adult,3 months,vhf,glued to back,"relocation, behavior",5500 ha,local,not given,not given,-30.676624็, 24.013089็,Karoo,South Africa,regression,,
60,2013,1,habitat use,behavior,2,Canis lupus dingo,large mammal,dingo,vulnerable,IUCN red list,0,1,23,,adult,10 months,gps,collar,relocation,,regional,10 lost,not given,-20.189533็,130.019630็,tanami desert,Australia,chi-squared,kernel density estimators,
61,1994,1,behavior,habitat use,2,Macropusr ufu,large mammal,red kangaroo,least concern,IUCN red list,0,1,46,,"adult, juvinile",3 years,vhf,collar,relocation,,local,not given,not given,-25.317044็,118.768221็,Gibson,Australia,,"Fourier transform
of the utilization distribution",
62,2015,1,habitat use,,1,Numenius americanus,bird,long-billed curlew,least concen,IUCN red list,0,1,4,"3,1",adult,2 years,gps,leg loop,relocation,,regional,not given,not given, 24.825747็,-100.077275็,Chihuahuian Desert,Mexico,,"minimum convex polygon, kernel density estimate",
63,2015,1,behavior,habitat use,1,Neophron percnopterus,bird,egyptian vulture,endangered,IUCN red list,0,1,19,,juvinile,4 years,gps,backpack,relocation,,global,10 lost,not given,  9.208155็, 25.696854็,Sahara,"Egypt, Sudan",,minimum convex polygon,
64,2014,1,behavior,habitat use,2,Cladorhynchus leucocephalus,bird,banded stilt,least concern,IUCN red list,0,1,21,"17,4",adult,7 months,gps,leg loop,relocation,,regional,not given,not given,-31.766201็,136.142370็,"simpson desert, great victorian desert",Australia,,distances traveled,
65,2010,1,behavior,habitat use,2,Leopardus geoffroyi,large mammal,Geoffroy๊s cats,least concern,IUCN red list,0,1,10,"1,9","adult, juvinile",3 months,vhf,collar,"relocation, behavior",,local,100%,100%,-37.907885็,-65.563738็,dry pampas,Argentina,,,
66,2006,1,behavior,habitat use,2,Leopardus geoffroyi,large mammal,Geoffroy๊s cats,least concern,IUCN red list,0,1,14,"4,10","adult, juvinile",2 years,vhf,collar,relocation,,local,not given,not given,-37.907885็,-65.563738็,dry pampas,Argentina,,"adaptive kernel, minimum convex polygon",
67,2005,1,habitat use,behavior,2,Felis silvestris gordoni,large mammal,Gordon๊s wildcats,"not assessed, locally threatened",IUCN red list,0,1,2,"1,1",adult,14 months,vhf,collar,behavior,,local,not given,not given, 25.322327็, 55.513643็,Arabian,United Arab Emirates,,minimum convex polygon,
68,2013,1,habitat use,behavior,2,Astrochelys radiata,reptile,radiated tortiose,critically endangered,IUCN red list,0,1,23,"12,11",adult,4 months,vhf,glued to back,relocation,,local,not given,not given,-23.351619็, 43.685493็,madagascar spiny desert,madagascar,anova,"adaptive kernel, minimum convex polygon",
69,2015,1,habitat use,,1,Macroscelides micus,small mammal,Etendeka round-eared sengi,not assessed,IUCN red list,0,1,7,,adult,1 month,vhf,collar,relocation,,local,not given,100%, -21.218658็, 14.867353็,Namib,Namibia,,"object restricted-edge polygon, concave polygon analysis, minimum convex polygon",
70,2007,1,methodological,habitat use,2,Eremitalpa granti namibensis,small mammal,golden moles,near threatened,IUCN red list,0,1,7,,adult,2 months,vhf,collar,relocation,,local,1 lost,not given,-22.646743็, 14.600491็,Namib,Namibia,,anova,minimum convex polygon
71,2006,1,behavior,thermoregulation,3,Petromus typicus,small mammal,dassie rat,least concern,IUCN red list,0,1,9,,adult,3 tears,vhf,collar,behavior,,local,not given,not given,-21.420333็, 15.950559็,Namib,Namibia,,minimum convex polygon,
72,2003,1,habitat use,,1,Acanthocercus a. atricollis,reptile,tree agama,least concern,IUCN red list,0,1,4,"4,0",adult,25 days,vhf,collar,relocation,,local,not given,not given,-25.993417็, 27.543703็,Kalahari,South Africa,ANOVA,,
73,1994,1,behavior,,1,Odocoileus hemionus crooki,large mammal,mule deer,least concern,IUCN red list,0,1,34,"22,12","adult, juvile",4 months,vhf,collar,behavior,,local,not given ,not given, 30.358492็,-103.661010็,Chihuahuian Desert,USA,,,
74,2010,1,demographics,behavior,2,Gopherus agassizii,reptile,desert tortoise,vulnerable,IUCN red list,0,1,74,"24 ,48",adult,5 years,vhf,glued to back,relocation,,local,not given,not given, 33.466629็,-112.031888็,sonoran,USA,,,
75,2014,1,behavior,habitat use,2,Myotis ciliola brum,small mammal,western small-footed myotis,least concern,IUCN red list,0,1,9,"0,9",adult,12 days,vhf,glued to back,relocation,,local,none,100%, 44.544553็,-119.631964็,Columbia Basin,USA,t test,,
76,1993,1,behavior,thermoregulation,2,Geopelia cuneata,bird,diamond dove,least concern,IUCN red list,1,2,5,,adult,2 months,vhf,tail,behavior,,local,not given,not given,-22.369674็,124.735913็,Great Sandy Desert,Australia,activity budgetting,,
77,2011,1,habitat use,,1,GAMBELIA WISLIZENII,reptile,long-nosed leopard lizard,least concern,IUCN red list,0,1,17,"10,7","adult, juvinile",5 weeks,vhf,backpack,relocation,,local,1 lost,16 recovered, 37.323308็,-108.900623็,Great Basin,USA,,"minimum convex polygons, kernel estimators",
78,2006,1,behavior,,1,Rhabdomys pumilio,small mammal,striped mouse,least concern,IUCN red list,0,1,16,"6,10",adult,20 days,vhf,collar,behavior,,local,not given,not given,-29.665462็, 17.888008็,Karoo,South Africa,Spearman rank correlation,grid cell method,
79,2009,1,behavior,,1,Macroscelides proboscideus,small mammal,round eared sengi,least concern,IUCN red list,0,1,47,"23,24",adult,6 months,vhf,collar,behavior,,local,6 lost,not given,-29.665459็, 17.887998็,Karoo,South Africa,glmm,minimum convex polygon,
80,2013,1,behavior,reproduction,2,Crotalus atrox,reptile,diamond -backed rattlesnake,least concerned,IUCN red list,0,1,21,"0,21",adult,6 years ,vhf,sugical implant,relocation,,local,not given,not given, 33.031443็,-111.387307็,sonoran,USA,randomization procedures,,
81,1991,1,behavior,,1,Hystrix indica,small mammal,Indian Creasted Porcupine,least concern,IUCN red list,0,1,9,"6,3",adult,160 days,vhf,collar,relocation,,local,not given,not given, 32.247033็, 34.856678็,mediteranean,Israel,,convex polygon,
82,2007,1,behavior,,1,Onychognathus tristramii,bird,grackle,least concern,IUCN red list,0,3,22,,adult,12 days,vhf,backpack,relocation,,local,not given,not given, 31.527754็, 35.314245็,Judean Desert,Israel,dispersa curves,,
83,2004,1,physiology,,1,Crotalus atrox,reptile,diamond -backed rattlesnake,least concerned,IUCN red list,0,1,10,,adult,6 months,vhf,surgical implant,data logger,,local,2 lost,8 recaptured, 32.221531็,-110.926324็,sonoran,USA,RAMONVA,,
84,2011,1,behavior,habitat use,2,Rhinella marina,amphibian,cane toad,least concern,IUCN red list,0,1,44,"29,15",adult,3 months,vhf,backpack,relocations,,local,not given,not given,-23.678365็,144.308154็,simpson,Australia,t-test,,
85,1998,1,habitat use,,1,Caracal caracal,large mammal,caracal,least concern,IUCN red list,0,1,1,"1,0",adult,11 months,vhf,collar,relocation,12000 km squared,local,1,100%, 30.755101็, 39.053407็,Arabian,Saudi Arabia,,minimum convex polygon,
86,2012,1,habitat use,behavior,2,dasyurids (3 species),small mammal,"fat-tailed dunnart (Sminthopsis crassicaudata), Giles๊
planigale (P. gilesi) and stripe-faced dunnart (S. macroura).",least concern,IUCN red list,0,3,9,"9,0",adult,5 months,vhf,surgical implant,relocation,,local,not given,not given,-32.544166็,142.297219็,"Strzelecki, simpson deserts",Australia,,minimum convex polygon,
87,1997,1,demographics,,1,Canis latrans,large mammal,coyote,least concern,IUCN red list,0,1,41,,"adult, juvinile",2 months,vhf,collar,relocation,,local,not given,100%, 32.319943็,-106.763762็,Chihuahuian Desert,USA,,"harmonic-meane stimate, core area of ranges",
88,2012,1,habitat use,demographics,2,"Coluber
constrictor flaviventris",reptile,Eastern Yellow-bellied Racer,least concern,IUCN red list,1,2,22,,adult,4 months,vhf,surgical implant,relocation,,local,not given,not given, 49.030654็,-107.691042็,semi-arid pairie,Canada,,minimum convex polygon,
89,2001,1,behavior,habitat use,2,Molothrus ater,bird,Brown-headed Cowbird,least concern,IUCN red list,0,1,30,"0,30",adult,2 years,vhf,backpack,relocation,,local,not given,not given, 35.316788็,-104.386550็,Chihuahuian Desert,USA,logistic regression,"kernel estimators, minimum convex polygon",
90,1998,1,demographics,behavior,2,Peromyscus truei,small mammal,pinyon mice,least concern,IUCN red list,0,1,21,"7,14",adult,15 days,vhf,collar,relocation,,local,not given,not given, 36.277822็,-118.185357็,Mojave,USA,t-test,harmonic mean analysis,
91,2006,1,habitat use,behavior,2,Anas gracilis,bird,grey teal,least concern,IUCN red list,0,1,17,,adult,1 year,gps,backpack,relocation,,regional,not given,not given,-28.172910็,137.444065็,strxelecki desert,Australia,,distances traveled,
92,2008,1,habitat use,behavior,2,Anas gracilis,bird,grey teal,least concern,IUCN red list,0,1,12,,adult,2 years,gps,backpack,relocation,,regional,not given,not given,-28.172910็,137.444065็,strxelecki desert,Australia,fractal analysis,distances traveled,
93,1995,1,habitat use,behavior,2,Loxodonta africana,large mammal,african elephant,vulnerable,IUCN red list,0,1,2,"0,2",adult,22 months,gps,collar,relocation,,regional,not given,not given,  9.571961็, 14.755324็,Sahara,Camaroon,anova,minimum convex polygon,
94,2015,1,habitat use,,1,Phrynosoma blainvillii,reptile,Blainville๊s Horned Lizard,least concern,IUCN red list,0,1,20,,adult,7 months,gps,backpack,relocation,400 ha,local,not given ,not given, 35.728311็,-119.624865็,San Joaquine,USA,,"Minimum convex polygon, convex hull",
95,2016,1,habitat use,,1,"Gopherus
agassizii",reptile,desert tortoise,vulnerable,IUCN red list,0,1,46,,juvinile,2 years,vhf,glued to back,relocation,,local,not given ,not given, 35.253940็,-115.395608็,Mojave,USA,logistic regression,,
96,2016,1,habitat use,demographics,2,Vulpes macrotis arsipus,small mammal,desert kit fox,least concern,IUCN red list,0,1,56,,adult,2 years,vhf,collar,relocation,,local,not given ,not given, 33.539262็,-115.127709็,Mojave,USA,ANOVA,"Minimum convex polygon, fixed kernel",
97,2015,1,methodology,behavior,2,Gopherus agassizii,reptile,desert tortoise,vulnerable,IUCN red list,0,1,80,,adult,8 months,vhf,glued to back,relocation,,local,not given ,not given, 35.262852็,-116.684568็,Mojave,USA,chi-squared,minimum convex polygon,
