rep,year,observational,main.H,secondary.H,number.H.test,target.taxa,other.taxa,total number of species in study,n,device,scale,country,lat,long,risk.status,duration in days
82,2007,1,behavior,,1,bird,0,3,22,vhf,local,Israel,31.527754,35.314245,least concern,12
83,2004,1,physiology,,1,reptile,0,1,10,vhf,local,USA,32.221531,-110.926324,least concern,180
84,2011,1,behavior,habitat use,2,amphibian,0,1,44,vhf,local,Australia,-23.678365,144.308154,least concern,90
85,1998,1,habitat use,,1,large mammal,0,1,1,vhf,local,Saudi Arabia,30.755101,39.053407,least concern,330
86,2012,1,habitat use,behavior,2,small mammal,0,3,9,vhf,local,Australia,-32.544166,142.297219,least concern,150
87,1997,1,demographics,,1,large mammal,0,1,41,vhf,local,USA,32.319943,-106.763762,least concern,60
88,2012,1,habitat use,demographics,2,reptile,1,2,22,vhf,local,Canada,49.030654,-107.691042,least concern,120
89,2001,1,behavior,habitat use,2,bird,0,1,30,vhf,local,USA,35.316788,-104.38655,least concern,720
90,1998,1,demographics,behavior,2,small mammal,0,1,21,vhf,local,USA,36.277822,-118.185357,least concern,15
94,2015,1,habitat use,,1,reptile,0,1,20,gps,local,USA,35.728311,-119.624865,least concern,210
95,2016,1,habitat use,,1,reptile,0,1,46,vhf,local,USA,35.25394,-115.395608,vulnerable,720
96,2016,1,habitat use,demographics,2,small mammal,0,1,56,vhf,local,USA,33.539262,-115.127709,least concern,720
97,2015,1,methodological,behavior,2,reptile,0,1,80,vhf,local,USA,35.262852,-116.684568,vulnerable,240
2,2009,1,behavior,thermoregulation,2,bird,0,1,142,vhf,regional,Spain,39.528655,-2.001551,vulnerable,3240
11,2015,1,habitat use,,,bird,0,1,9,gps,regional,USA,35.96171,-116.85124,least concern,720
19,2008,1,behavior,,1,small mammal,0,1,8,vhf,regional,USA,36.106902,-112.112597,least concern,7
35,2005,1,demographics,habitat use,2,large mammal,0,1,15,vhf,regional,USA,29.127487,-103.242538,least concern,1440
39,2014,1,habitat use,,1,large mammal,0,1,7,gps,regional,Mongolia,43.242048,97.438166,critically endangered,365
40,2013,1,behavior,,1,bird,0,1,3,gps,regional,Mongolia,50,101,vulnerable,720
47,2010,1,behavior,habitat use,2,large mammal,0,1,8,gps,regional,Namibia,-27.619823,19.526283,vulnerable,1080
48,2006,1,behavior,habitat use,2,large mammal,0,1,8,gps,regional,Namibia,-27.619823,19.526283,vulnerable,720
57,2008,1,behavior,,1,large mammal,0,1,12,vhf,regional,Oman,21.476394,55.907396,vulnerable,1080
58,2006,1,demographics,habitat use,2,large mammal,1,4,51,vhf,regional,USA,33.684357,-111.325687,least concern,1080
60,2013,1,habitat use,behavior,2,large mammal,0,1,23,gps,regional,Australia,-20.189533,130.01963,vulnerable,300
62,2015,1,habitat use,,1,bird,0,1,4,gps,regional,Mexico,24.825747,-100.077275,least concern,720
64,2014,1,behavior,habitat use,2,bird,0,1,21,gps,regional,Australia,-31.766201,136.14237,least concern,210
91,2006,1,habitat use,behavior,2,bird,0,1,17,gps,regional,Australia,-28.17291,137.444065,least concern,365
92,2008,1,habitat use,behavior,2,bird,0,1,12,gps,regional,Australia,-28.17291,137.444065,least concern,720
93,1995,1,habitat use,behavior,2,large mammal,0,1,2,gps,regional,Camaroon,9.571961,14.755324,vulnerable,660
