rep,year,observational,main.H,secondary.H,number.H.test,latin.name,target.taxa,target species,risk.status,where listed,other.taxa,total number of species in study,n total,n males,n females,life stages,duration of tracking,duration in days,duration in hours,device,device attachment method,telemetry method,range in square kilometers,scale,rate of loss,recapture rate,lat,long,desert,country,statistics,what method was used to calculate home range,
1,2016,1,behavior,thermoregulation,2,Paraechinus aethiopicus,small mammal,Ethiopian hedgehog,least concern,IUCN Red List of Endangered Species,0,1,10,,,adult,4 days,4,96,vhf,glued to back,behavior,,local,0,,25.82811,51.201671,Arabian,Qatar,ANOVA (temperature comparison),None (temperature and behavior focus),
2,2009,1,behavior,thermoregulation,2,Otis tarda,bird,Great bustard,vulnerable,IUCN Red List of Endangered Species,0,1,142,,,adult and juvinile,9 years ,3240,77760,vhf,backpack,behavior,,regional,,,39.528655,-2.001551,Iberian Pennisula,Spain,Univariate exploratory analysis,minimum convex polygons,
3,2012,1,habita use,species interactions,2,Canis latrans,large mammal,Coyote,least concern,IUCN Red List of Endangered Species,1,3,5,,,adult,9 weeks,62,1488,gps,collar,relocation,,local,0,5,25.833709,-103.848732,Chihuahuian Desert,Mexico,"ANOVA, Chi squared","""grid method"" (for habitat use/overlap)",
4,2007,1,methodological,,1,Sylvia hortensis,bird,Orphean Warblers,least concern,IUCN Red List of Endangered Species,0,1,9,,,adult,9 days,9,216,vhf,leg band,relocation,,local,,,21.008036,-10.944415,Sahara,Mauritania,detection probability,none (detection probability focus),
5,2007,1,demographics,,1,Odocoileus hemionus,large mammal,mule deer,least concern,IUCN Red List of Endangered Species,0,1,77,,,adult,3 years,1080,25920,vhf,collar,monitoring,4260,local,23,,36.579971,-104.472293,Colorado Plateau,USA,logistic regression,none (survival focus),
6,2014,1,behavior,,1,Centruroides sculpturatus,invertebrate,bark scorpion,least concern,IUCN Red List of Endangered Species,0,1,20,,,adult,21 days,21,504,vhf,glued to back,relocation,,local,,,33.30618,-111.841208,sonoran,USA,"general addative model, linear regression",none (movement distance taken),
7,2010,1,habitat use,,1,Ovis canadensis,large mammal,mountain sheep,least concern,IUCN Red List of Endangered Species,0,1,13,,,adult,,,,vhf,collar,relocation,,local,,,33.1264,-114.726345,sonoran,USA,logistic regression model,none (location data used for regression model),
8,2009,1,habitat use,,1,Ovis canadensis,large mammal,mountain sheep,least concern,IUCN Red List of Endangered Species,0,1,25,,,adult,8 years,2880,69120,vhf,collar,relocation,84,local,,,35.112116,-115.263292,Mojave,USA,logistic regression model,minimum convex polygons,
9,2013,1,behavior,thermoregulation,2,Mormopterus species,small mammal,inland freetail bats,vulnerable,IUCN Red List of Endangered Species,0,1,8,,,adult,55 days,55,1320,vhf,glued to back,relocation,,local,,,-28.362073,139.945807,strxelecki desert,Australia,ANOVA,"None (body temp, torpor focus)",
10,2014,1,physiology,behavior,2,"Scotorepens greyii, Mormopterus species",small mammal,"little
 broad-nosed bat, inland freetail bats",vulnerable,IUCN Red List of Endangered Species,0,2,3,,,adult,3 days,3,72,vhf,glued to back,relocation,,local,0,,-28.362073,139.945807,strxelecki desert,Australia,linear mixed effects model,none (body temp),
11,2015,1,habitat use,,1,Aquila chrysaetos,bird,golden eagles,least concern,IUCN Red List of Endangered Species,0,1,9,,,adult and juvinile,2 years,720,17280,gps,backpack,relocation,,regional,1,,35.96171,-116.85124,Mojave,USA,linear mixed model,local convex hull (used R),
12,1999,1,physiology,behavior,2,Papio hamadryas ursinus,large mammal,baboon,least concern,IUCN Red List of Endangered Species,0,1,3,3,0,adult,6 weeks,42,1008,vhf,sugical implant,behavior,,local,0,,-23.521535,16.494061,Namib,Namibia,descriptive stats,none (body temp),
13,2003,1,physiology,behavior,2,Vanellus coronatus,bird,crowned plovers,least concern,IUCN Red List of Endangered Species,0,1,41,,,adult,18 month,540,12960,vhf,sugical implant,observation,,local,,,-29.590787,30.269752,Karoo,South Africa,correlation,none (body temp),
14,2014,1,habitat use,,1,Aspidites ramsayi,reptile,woma python,endangered,IUCN Red List of Endangered Species,0,1,12,7,5,adult,1 year,365,8760,vhf,sugical implant,relocation,100,local,0,,-26.843468,150.781957,semi-arid,Australia,information-theoretic model selection,mapping,
15,2003,1,habitat use,,1,"domestic cat. Felis catus, fox Vulpes vulpes",small mammal,feral cats and foxes,least concern,IUCN Red List of Endangered Species,0,2,4,,,adult,7 days,7,168,vhf,collar,relocation,,local,,,-24.97146,125.593885,Gibson,Australia,t test,95% minimum convex polygon,
16,2011,1,behavior,,1,Falco naumanni,bird,Lesser Kestrel,least concern,IUCN Red List of Endangered Species,0,1,19,8,11,adult,1 year,365,8760,geolocator,leg band,relocation,,global,,11,31.60638,-0.146848,"Iberian Pennisula, Sahara",Portugal/Spain- West Africa,analysis of light to determine migration distance,,
17,1995,1,habitat use,behavior,2,Antilocapra americana,large mammal,pronghorn,least concern,IUCN Red List of Endangered Species,0,1,7,3,4,adult and juvinile,1 year,365,8760,vhf,collar,relocation,23,local,,,32.612831,-106.731264,Chihuahuian Desert,USA,Chi- Square,minimum convex polygons,
18,2010,1,physiology,,1,Thallomys nigricauda,small mammal,Black-tailed Tree Rats,least concern,IUCN Red List of Endangered Species,0,1,31,,,adult,12 days,12,288,vhf,collar,relocation,,local,3,,-27.829334,28.501826,Kalahari,South Africa,"ANOVA, Chi squared",mapping,
19,2008,1,behavior,,1,Nyctinomops macrotis,small mammal,big free-tailed bats,least concern,IUCN Red List of Endangered Species,0,1,8,0,8,adult,7 days,7,168,vhf,glued to back,relocation,300,regional,,,36.106902,-112.112597,Great Basin,USA,95% minimum convex polygon (location analysis),95% minimum convex polygon,
20,2000,1,demographics,behavior,2,Vulpes macrotis mutica,small mammal,San joaquine Kit Fox,endangered,IUCN Red List of Endangered Species,0,1,341,,,adult and juvinile,6 weeks ,42,1008,vhf,collar,relocation,323,local,225,,35.34796,-119.520039,San Joaquine,USA,"ANOVA,t-test",mapping,
21,2010,1,physiology,behavior,2,Otonycteris hemprichii,small mammal,Hemprich_ã_s long-eared bats,least concern,IUCN Red List of Endangered Species,0,1,23,0,23,adult,2 years,720,17280,vhf,glued to back,relocation,,local,,,30.852297,34.7834,negev desert,Israel,"ANOVA, Regression","none (body temp, roost location)",
22,2015,1,distribution,behavior,2,Vulpes macrotis,small mammal,kit fox,least concern,IUCN Red List of Endangered Species,0,1,45,26,19,adult,3 years,1080,25920,vhf,collar,relocation,879,local,,,40.211933,-112.839502,Great Basin,USA,"GLM, GLMM",none (grouped for model),
23,2010,1,habitat use,home range,2,Aegotheles cristatus,bird,Australian owlet-nightjars,least concern,IUCN Red List of Endangered Species,0,1,29,12,9,adult,5 days ,5,120,vhf,backpack,relocation,0.2,local,1,,-23.697222,133.883292,tanami desert,Australia,"ANOVA, t-test","minimum convex polygons, fixed kernal contour",
24,1999,1,physiology,behavior,2,"Acomys russatus, A. cahirinus",small mammal,spiny mice,least concern,IUCN Red List of Endangered Species,0,2,54,,,adult,30 days ,30,720,vhf,sugical implant,data logger,,local,,54,31.725779,35.191123,Judean Desert,Israel,t test,none (body temperature),
25,2012,1,behavior,,1,Gopherus agassizii,reptile,desert tortoise,threatened,IUCN Red List of Endangered Species,0,1,15,0,15,adult,5 days,5,120,vhf,glued to back,relocation,,local,,,33.830296,-116.545291,Mojave,USA,"ANOVA, ANCOVA, multi-response permutation procedure",none (reproduction),
